Species,Plot,Subplot,Core,Light_ISF,Light_Cat,Soil,Sterile,Conspecific,Myco,SoilMyco,AMF,EMF,Phenolics,Lignin,NSC,Time,Event
Acer saccharum,1,C,2017,0.106,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,22.0,,-0.56,13.86,12.15,14.0,1.0
Quercus alba,1,C,2017,0.106,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,15.82,31.07,5.19,20.52,19.29,115.5,0.0
Quercus rubra,1,C,2017,0.106,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,24.45,28.19,3.36,24.74,15.01,63.0,1.0
Acer saccharum,7,D,2016,0.08,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,22.23,,-0.71,14.29,12.36,14.0,1.0
Acer saccharum,14,A,2017,0.06,Low,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,21.15,,-0.58,10.85,11.2,14.0,1.0
Prunus serotina,1,C,2016,0.106,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,35.29,,0.3,10.8,13.79,24.5,1.0
Quercus alba,1,A,2016,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,24.0,20.0,5.11,18.82,22.51,24.5,0.0
Quercus rubra,1,A,2017,0.108,Med,Sterile,Sterile,Sterilized,EMF,Sterile,4.0,0.0,3.43,25.22,14.81,24.5,0.0
Quercus rubra,1,A,2016,0.108,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,28.74,36.18,3.83,26.65,14.65,115.5,0.0
Acer saccharum,1,A,2016,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,14.16,,-0.05,13.3,12.16,24.5,1.0
Quercus rubra,1,C,2017,0.106,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,24.45,28.19,3.36,24.74,15.01,115.5,0.0
Quercus alba,1,C,2017,0.106,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,19.68,21.58,5.1,18.16,22.56,73.5,1.0
Quercus alba,1,C,2016,0.106,Med,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,11.14,32.75,5.05,21.93,17.75,73.5,1.0
Quercus alba,1,A,2017,0.108,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,11.45,21.84,4.79,17.83,23.72,59.5,1.0
Quercus alba,1,A,2016,0.108,Med,Sterile,Sterile,Sterilized,EMF,Sterile,24.0,9.09,3.68,19.77,19.81,24.5,0.0
Quercus alba,1,A,2017,0.108,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,17.54,32.82,5.29,20.84,18.65,115.5,0.0
Quercus rubra,1,C,2017,0.106,Med,Sterile,Sterile,Sterilized,EMF,Sterile,3.0,0.0,3.5,20.44,18.99,24.5,0.0
Quercus rubra,1,C,2017,0.106,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,41.0,13.33,3.98,20.17,21.59,24.5,0.0
Acer saccharum,1,A,2016,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,10.0,,-0.1,12.61,11.75,24.5,0.0
Acer saccharum,1,A,2017,0.108,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,AMF,22.98,,0.44,13.69,12.31,24.5,1.0
Acer saccharum,1,A,2017,0.108,Med,Sterile,Sterile,Sterilized,AMF,Sterile,8.55,,0.08,10.61,11.57,24.5,1.0
Acer saccharum,1,A,2016,0.108,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,12.86,,0.04,13.95,12.5,24.5,1.0
Quercus rubra,1,A,2017,0.108,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,20.45,26.44,3.89,24.19,16.19,115.5,0.0
Quercus alba,1,C,2017,0.106,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,9.0,26.92,4.77,17.0,25.17,24.5,0.0
Quercus alba,1,A,2016,0.108,Med,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,10.68,26.72,5.04,21.43,18.21,73.5,1.0
Quercus alba,1,A,2016,0.108,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,18.04,25.57,5.09,18.75,23.07,73.5,1.0
Quercus alba,1,A,2017,0.108,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,14.0,38.46,5.47,21.72,18.17,24.5,0.0
Acer saccharum,1,A,2016,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,14.16,,-0.05,13.3,12.16,59.5,1.0
Quercus alba,1,A,2016,0.108,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,5.0,16.22,3.77,25.48,12.91,24.5,0.0
Quercus rubra,1,D,2016,0.107,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,19.0,57.14,3.69,24.77,14.86,24.5,0.0
Quercus alba,1,A,2016,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,20.19,26.04,5.07,18.97,22.48,115.5,0.0
Quercus rubra,1,C,2017,0.106,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,19.32,21.6,3.81,20.97,18.09,115.5,0.0
Quercus alba,1,C,2017,0.106,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,12.15,21.66,4.7,17.55,24.42,115.5,0.0
